"core_id","ring_id","year","incr_mm"
2964,96590,1845,0.92
2964,96591,1846,1.08
2964,96592,1847,0.64
2964,96593,1848,0.46
2964,96594,1849,0.22
2964,96595,1850,0.24
2964,96596,1851,0.01
2964,96597,1852,0.02
2964,96598,1853,0.06
2964,96599,1854,0.04
2964,96600,1855,0.21
2964,96601,1856,0.15
2964,96602,1857,0.3
2964,96603,1858,0.31
2964,96604,1859,0.24
2964,96605,1860,0.28
2964,96606,1861,0.32
2964,96607,1862,0.24
2964,96608,1863,0.55
2964,96609,1864,0.46
2964,96610,1865,0.58
2964,96611,1866,0.68
2964,96612,1867,0.66
2964,96613,1868,0.41
2964,96614,1869,0.45
2964,96615,1870,0.51
2964,96616,1871,0.56
2964,96617,1872,0.4
2964,96618,1873,0.56
2964,96619,1874,0.54
2964,96620,1875,0.66
2964,96621,1876,0.66
2964,96622,1877,0.58
2964,96623,1878,0.52
